name,total_case,total_deaths,total_recovered,active_cases,serious_critical
,,,,,
,"60,604,827","1,212,307","48,593,700","10,798,820","20,899"
,"83,116,322","1,232,492","80,377,925","1,505,905","30,483"
,"39,203,192","1,186,448","37,260,255","756,489","12,773"
,"78,096,217","1,461,336","68,351,762","8,283,119","22,938"
,"9,026,626","225,426","8,244,223","556,977","1,540"
,"391,472","4,360","349,103","38,009",165
,721,15,706,0,0
,"270,439,377","5,322,384","243,177,674","21,939,319","88,798"
USA,"50,801,455","817,956 ","40,003,674","9,979,825","15,001"
India,"34,697,860","475,636 ","34,130,768","91,456","8,944"
Brazil,"22,189,867","616,941 ","21,414,318","158,608","8,318"
UK,"10,819,515","146,439 ","9,490,407","1,182,669",900
Russia,"10,016,896","289,483 ","8,741,355","986,058","2,300"
Turkey,"9,040,179","79,151 ","8,614,742","346,286","1,128"
France,"8,258,692","120,431 ",,"838,455","2,602"
Germany,"6,530,912","106,331 ","5,435,700","988,881","4,636"
Iran,"6,154,813","130,722 ","5,969,591","54,500","3,104"
Argentina,"5,358,455","116,771 ","5,216,007","25,677",693
Spain,"5,290,190","88,381 ","4,943,735","258,074","1,056"
Italy,"5,225,517","134,831 ","4,805,809","284,877",829
Colombia,"5,093,534","129,107 ","4,933,825","30,602",342
Indonesia,"4,259,143","143,936 ","4,110,049","5,158",
Mexico,"3,918,216","296,672 ","3,273,260","348,284","4,798"
Poland,"3,828,248","88,479 ","3,289,117","450,652","2,142"
Ukraine,"3,563,165","91,215 ","3,205,879","266,071",177
South Africa,"3,167,497","90,137 ","2,913,232","164,128",546
Netherlands,"2,880,426","20,112 ",,"611,191",637
Philippines,"2,836,592","50,280 ","2,775,057","11,255",899
Malaysia,"2,691,639","30,879 ","2,601,908","58,852",407
Czechia,"2,338,402","34,551 ","2,053,306","250,545",984
Peru,"2,251,027","201,650 ",N/A,N/A,993
Thailand,"2,172,044","21,192 ","2,101,326","49,526","1,369"
Iraq,"2,087,837","23,978 ","2,055,454","8,405",76
Belgium,"1,929,772","27,504 ","1,421,499","480,769",827
Canada,"1,835,229","29,919 ","1,766,728","38,582",469
Romania,"1,793,149","57,696 ","1,715,859","19,594",722
Chile,"1,782,804","38,686 ",,"61,779",670
Japan,"1,728,820","18,373 ","1,709,488",959,26
Bangladesh,"1,579,325","28,028 ","1,544,150","7,147","1,369"
Vietnam,"1,413,051","27,839 ","1,054,720","330,492","7,596"
Israel,"1,350,215","8,216 ","1,336,391","5,608",100
Pakistan,"1,289,293","28,836 ","1,251,409","9,048",731
Serbia,"1,274,047","12,178 ","1,229,344","32,525",177
Sweden,"1,229,217","15,158 ",,"45,871",48
Austria,"1,228,034","13,162 ","1,144,860","70,012",568
Portugal,"1,194,288","18,658 ","1,107,513","68,117",143
Hungary,"1,182,922","36,429 ","968,897","177,596",573
Switzerland,"1,106,573","11,786 ",,"199,351",273
Jordan,"1,010,033","11,982 ","931,323","66,728","1,295"
Greece,"1,002,877","19,245 ","919,746","63,886",708
Kazakhstan,"979,975","12,864 ","948,757","18,354",528
Cuba,"963,628","8,313 ","954,927",388,16
Morocco,"951,482","14,796 ","935,067","1,619",103
Georgia,"889,286","12,731  ","832,675","43,880",
Nepal,"824,222","11,554 ","806,778","5,890",114
Slovakia,"774,857","15,354 ",,"106,896",581
UAE,"742,802","2,151 ","737,896","2,755",
Tunisia,"719,586","25,432 ","692,768","1,386",50
Bulgaria,"714,688","29,536 ","587,577","97,575",629
Lebanon,"690,054","8,848 ","640,860","40,346",186
Belarus,"674,723","5,276 ","665,432","4,015",
Croatia,"654,202","11,619 ","617,482","25,101",326
Ireland,"623,623","5,788 ",,"133,622",109
Guatemala,"622,168","16,036 ","605,184",948,5
Azerbaijan,"604,480","8,088 ","576,264","20,128",
Sri Lanka,"572,902","14,614 ","545,051","13,237",
Costa Rica,"567,995","7,332 ","558,639","2,024",64
Denmark,"554,389","3,014 ",,"75,462",65
Bolivia,"553,108","19,317 ","504,507","29,284",220
Saudi Arabia,"550,240","8,853 ","539,477","1,910",29
Ecuador,"533,190","33,558 ","443,880","55,752",759
Myanmar,"526,661","19,183 ","503,107","4,371",
S. Korea,"523,088","4,293 ","433,564","85,231",876
Lithuania,"491,122","6,974 ","456,278","27,870",125
Panama,"480,781","7,386 ","470,285","3,110",14
Paraguay,"463,755","16,505 ","446,598",652,54
Slovenia,"439,952","5,408 ","412,023","22,521",243
Venezuela,"438,683","5,239 ","426,476","6,968",681
Palestine,"433,985","4,576 ","425,777","3,632",62
Kuwait,"413,711","2,466 ","410,898",347,3
Dominican Republic,"410,265","4,218 ","404,389","1,658",110
Uruguay,"402,509","6,145 ","394,078","2,286",13
Mongolia,"385,447","2,036 ","313,256","70,155",192
Honduras,"378,561","10,421 ","122,591","245,549",51
Libya,"378,105","5,553 ","363,780","8,772",
Ethiopia,"373,115","6,829 ","350,368","15,918",157
Moldova,"369,659","9,368 ","354,258","6,033",132
Egypt,"369,198","21,060 ","306,605","41,533",90
Armenia,"342,538","7,802 ","325,394","9,342",
Norway,"317,880","1,136 ","88,952","227,792",109
Oman,"304,714","4,113 ","300,096",505,2
Bosnia and Herzegovina,"280,980","12,918 ","192,218","75,844",
Bahrain,"278,065","1,394 ","276,355",316,1
Singapore,"273,362",794 ,"267,028","5,540",30
Latvia,"261,944","4,375 ","248,267","9,302",97
Kenya,"256,335","5,348 ","248,515","2,472",1
Qatar,"245,354",613 ,"242,336","2,405",9
Australia,"230,762","2,106 ","210,848","17,808",103
Estonia,"228,279","1,852 ","213,179","13,248",23
North Macedonia,"219,408","7,732 ","205,946","5,730",
Nigeria,"217,481","2,981 ","207,746","6,754",11
Algeria,"212,848","6,145 ","146,340","60,363",24
Zambia,"211,077","3,670  ","206,670",737,16
Albania,"203,787","3,134 ","195,247","5,406",23
Finland,"201,051","1,421 ","46,000","153,630",54
Botswana,"196,090","2,421 ","192,452","1,217",1
Uzbekistan,"195,958","1,440 ","192,677","1,841",23
Kyrgyzstan,"183,991","2,770 ","179,040","2,181",131
Zimbabwe,"167,140","4,738 ","129,776","32,626",12
Montenegro,"159,788","2,350 ","155,339","2,099",60
Afghanistan,"157,633","7,328 ","141,525","8,780","1,124"
Mozambique,"153,674","1,944 ","149,958","1,772",13
Cyprus,"140,851",610 ,"124,370","15,871",55
Namibia,"132,849","3,577 ","125,946","3,326",4
Ghana,"131,547","1,243 ","129,566",738,5
Uganda,"127,973","3,268 ","97,778","26,927",100
El Salvador,"121,127","3,795 ","104,756","12,576",232
Cambodia,"120,370","2,989 ","116,720",661,
Cameroon,"107,549","1,823 ","102,716","3,010",152
Rwanda,"100,634","1,344 ","45,522","53,768",4
Luxembourg,"93,429",890 ,"86,920","5,619",23
Maldives,"93,119",258 ,"90,924","1,937",23
Jamaica,"91,765","2,425 ","63,451","25,889",6
Laos,"89,320",247 ,"7,339","81,734",
Trinidad and Tobago,"80,607","2,407 ","63,949","14,251",22
Senegal,"74,086","1,886 ","72,154",46,1
Angola,"65,404","1,737 ","63,425",242,3
Réunion,"63,863",391 ,"59,685","3,787",34
Malawi,"62,265","2,308 ","58,855","1,102",67
Ivory Coast,"61,905",706 ,"60,983",216,
DRC,"59,851","1,118 ","50,930","7,803",
Guadeloupe,"55,284",748 ,"2,250","52,286",23
Eswatini,"52,643","1,250 ","45,662","5,731",11
Fiji,"52,577",697 ,"51,157",723,
Suriname,"51,202","1,177 ","29,586","20,439",11
Syria,"49,272","2,814 ","30,473","15,985",
French Guiana,"46,421",332 ,"11,254","34,835",5
French Polynesia,"46,334",636 ,N/A,N/A,7
Madagascar,"45,794",980 ,"43,393","1,421",22
Martinique,"45,501",718 ,104,"44,679",1
Sudan,"44,529","3,208 ","36,009","5,312",
Malta,"40,546",470 ,"38,272","1,804",2
Mauritania,"39,806",849 ,"38,382",575,13
Guyana,"38,554","1,020 ","36,639",895,14
Cabo Verde,"38,503",351 ,"38,038",114,23
Gabon,"37,591",282 ,"34,131","3,178",6
Papua New Guinea,"35,927",586 ,"35,053",288,7
Belize,"31,033",586 ,"29,609",838,10
Guinea,"30,798",388 ,"29,753",657,49
Barbados,"26,740",251 ,"24,372","2,117",
Togo,"26,400",243 ,"25,945",212,
Tanzania,"26,309",734 ,N/A,N/A,7
Haiti,"25,744",758 ,"22,028","2,958",
Benin,"24,897",161 ,"24,546",190,5
Seychelles,"23,806",129 ,"23,294",383,
Lesotho,"23,102",664 ,"13,856","8,582",
Somalia,"23,074","1,333 ","12,817","8,924",
Bahamas,"22,881",708 ,"21,656",517,4
Mauritius,"22,613",680 ,"20,962",971,
Mayotte,"21,088",185 ,"2,964","17,939",
Burundi,"20,666",38 ,773,"19,855",
Channel Islands,"20,327",107 ,"18,136","2,084",
Timor-Leste,"19,829",122 ,"19,703",4,
Andorra,"19,440",133 ,"16,995","2,312",4
Iceland,"19,159",35 ,"17,751","1,373",5
Congo,"19,066",359 ,"12,421","6,286",
Mali,"18,591",629 ,"15,498","2,464",
Curaçao,"17,589",182 ,"17,277",130,3
Nicaragua,"17,328",210 ,"4,225","12,893",
Tajikistan,"17,095",124 ,"16,966",5,
Taiwan,"16,742",848 ,,203,
Aruba,"16,593",177 ,"16,213",203,12
Burkina Faso,"16,334",290 ,"15,604",440,
Brunei ,"15,348",98 ,"14,973",277,1
Equatorial Guinea,"13,612",175 ,"13,386",51,1
Djibouti,"13,514",189 ,"13,298",27,
Saint Lucia,"13,086",283 ,"12,699",104,6
New Zealand,"12,986",47 ,"6,128","6,811",40
South Sudan,"12,873",133 ,"12,576",164,2
Isle of Man,"12,580",67 ,"11,740",773,1
Hong Kong,"12,489",213 ,"12,168",108,
New Caledonia,"12,389",280 ,"11,937",172,8
CAR,"11,912",101 ,"6,859","4,952",2
Yemen,"10,069","1,971 ","6,942","1,156",23
Gambia,"10,034",342 ,"9,641",51,1
Cayman Islands,"7,871",9 ,"4,339","3,523",17
Eritrea,"7,646",63 ,"7,428",155,
Gibraltar,"7,525",100 ,"7,150",275,3
Niger,"7,154",268 ,"6,823",63,2
Guinea-Bissau,"6,448",149 ,"6,283",16,
Sierra Leone,"6,421",121 ,N/A,N/A,
Dominica,"6,233",42 ,"5,768",423,
San Marino,"6,217",94 ,"5,772",351,3
Grenada,"5,915",200 ,"5,656",59,
Liberia,"5,833",287 ,"5,535",11,2
Bermuda,"5,764",106 ,"5,634",24,
St. Vincent Grenadines,"5,722",77 ,"5,111",534,7
Chad,"5,701",181 ,"4,874",646,
Liechtenstein,"5,327",67 ,"4,772",488,11
Sint Maarten,"4,632",75 ,"4,524",33,10
Comoros,"4,569",151 ,"4,374",44,
Faeroe Islands,"4,372",13 ,"3,859",500,7
Antigua and Barbuda,"4,162",117 ,"4,033",12,1
Monaco,"4,094",36 ,"3,858",200,1
Saint Martin,"3,973",56 ,"1,399","2,518",7
Sao Tome and Principe,"3,733",57 ,"3,675",1,
Caribbean Netherlands,"3,138",22 ,"2,973",143,
Turks and Caicos,"3,137",25 ,"3,066",46,
British Virgin Islands,"2,816",38 ,N/A,N/A,7
Saint Kitts and Nevis,"2,796",28 ,"2,758",10,1
Bhutan,"2,649",3 ,"2,629",17,
Greenland,"1,831", ,"1,526",305,2
St. Barth,"1,603",6 ,N/A,N/A,
Anguilla,"1,523",4 ,"1,434",85,
,712,13 ,699,0,
Wallis and Futuna,454,7 ,438,9,
Saint Pierre Miquelon,91, ,60,31,
Falkland Islands,83, ,N/A,N/A,
Macao,77, ,77,0,
Montserrat,44,1 ,42,1,
Vatican City,27, ,27,0,
Solomon Islands,20, ,20,0,
Western Sahara,10,1 ,8,1,
,9,2 ,7,0,
,8, ,8,0,
Vanuatu,6,1 ,5,0,
Marshall Islands,4, ,4,0,
Samoa,3, ,3,0,
Saint Helena,2, ,2,0,
Micronesia,1, ,1,0,
Tonga,1, ,1,0,
China,"99,780","4,636 ","93,763","1,381",27
,"60,604,827","1,212,307","48,593,700","10,798,820","20,899"
,"83,116,322","1,232,492","80,377,925","1,505,905","30,483"
,"39,203,192","1,186,448","37,260,255","756,489","12,773"
,"78,096,217","1,461,336","68,351,762","8,283,119","22,938"
,"9,026,626","225,426","8,244,223","556,977","1,540"
,"391,472","4,360","349,103","38,009",165
,721,15,706,0,0
,"270,439,377","5,322,384","243,177,674","21,939,319","88,798"
,,,,,
,"83,105,789","1,232,400","80,361,265","1,512,124","30,471"
,"60,603,972","1,212,255","48,591,498","10,800,219","20,899"
,"39,202,652","1,186,435","37,259,495","756,722","12,773"
,"78,088,033","1,461,095","68,300,521","8,326,417","22,966"
,"9,026,624","225,426","8,244,223","556,975","1,540"
,"389,528","4,357","349,059","36,112",161
,721,15,706,0,0
,"270,417,319","5,321,983","243,106,767","21,988,569","88,810"
China,"99,679","4,636 ","93,720","1,323",28
USA,"50,801,455","817,956 ","40,003,674","9,979,825","15,001"
India,"34,697,860","475,636 ","34,122,795","99,429","8,944"
Brazil,"22,189,867","616,941 ","21,414,318","158,608","8,318"
UK,"10,819,515","146,439 ","9,490,407","1,182,669",900
Russia,"10,016,896","289,483 ","8,741,355","986,058","2,300"
Turkey,"9,040,179","79,151 ","8,614,742","346,286","1,128"
France,"8,258,692","120,431 ","7,299,854","838,407","2,602"
Germany,"6,530,912","106,331 ","5,395,300","1,029,281","4,636"
Iran,"6,154,813","130,722 ","5,969,591","54,500","3,104"
Argentina,"5,358,455","116,771 ","5,216,007","25,677",693
Spain,"5,290,190","88,381 ","4,943,735","258,074","1,056"
Italy,"5,225,517","134,831 ","4,805,809","284,877",829
Colombia,"5,093,534","129,107 ","4,933,825","30,602",342
Indonesia,"4,259,143","143,936 ","4,110,049","5,158",
Mexico,"3,917,361","296,620 ","3,271,058","349,683","4,798"
Poland,"3,828,248","88,479 ","3,289,117","450,652","2,142"
Ukraine,"3,559,092","91,027 ","3,195,913","272,152",177
South Africa,"3,167,497","90,137 ","2,913,232","164,128",546
Netherlands,"2,880,426","20,112 ","2,249,161","611,153",637
Philippines,"2,836,592","50,280 ","2,775,057","11,255",899
Malaysia,"2,691,639","30,879 ","2,601,908","58,852",407
Czechia,"2,334,291","34,498 ","2,053,197","246,596","1,012"
Peru,"2,251,027","201,650 ",N/A,N/A,993
Thailand,"2,168,646","21,169 ","2,095,859","51,618","1,369"
Iraq,"2,087,837","23,978 ","2,055,454","8,405",76
Belgium,"1,929,772","27,504 ","1,421,499","480,769",827
Canada,"1,835,229","29,919 ","1,766,728","38,582",469
Romania,"1,793,149","57,696 ","1,715,859","19,594",722
Chile,"1,782,804","38,686 ","1,682,379","61,739",670
Japan,"1,728,689","18,373 ","1,709,386",930,25
Bangladesh,"1,579,325","28,028 ","1,544,150","7,147","1,369"
Vietnam,"1,413,051","27,839 ","1,054,720","330,492","7,596"
Israel,"1,350,215","8,216 ","1,336,391","5,608",100
Pakistan,"1,289,049","28,830 ","1,251,101","9,118",740
Serbia,"1,274,047","12,178 ","1,229,344","32,525",177
Sweden,"1,229,217","15,158 ","1,167,277","46,782",48
Austria,"1,228,034","13,162 ","1,144,860","70,012",568
Portugal,"1,194,288","18,658 ","1,107,513","68,117",143
Hungary,"1,182,922","36,429 ","968,897","177,596",573
Switzerland,"1,106,573","11,786 ","895,436","199,351",273
Jordan,"1,010,033","11,982 ","931,323","66,728","1,295"
Greece,"1,002,877","19,245 ","919,746","63,886",708
Kazakhstan,"979,484","12,852 ","948,214","18,418",528
Cuba,"963,628","8,313 ","954,927",388,16
Morocco,"951,482","14,796 ","935,067","1,619",103
Georgia,"889,286","12,731 ","832,675","43,880",
Nepal,"824,222","11,554 ","806,778","5,890",114
Slovakia,"774,857","15,354 ","652,657","106,846",581
UAE,"742,802","2,151 ","737,896","2,755",
Tunisia,"719,586","25,432 ","692,768","1,386",50
Bulgaria,"714,688","29,536 ","587,577","97,575",629
Lebanon,"690,054","8,848 ","640,860","40,346",186
Belarus,"674,723","5,276 ","665,432","4,015",
Croatia,"654,202","11,619 ","617,482","25,101",326
Ireland,"623,623","5,788 ","484,213","133,622",109
Guatemala,"622,168","16,036 ","605,184",948,5
Azerbaijan,"604,480","8,088 ","576,264","20,128",
Sri Lanka,"572,902","14,614 ","545,051","13,237",
Costa Rica,"567,995","7,332 ","558,639","2,024",64
Denmark,"554,389","3,014 ","475,922","75,453",65
Bolivia,"552,586","19,305 ","503,707","29,574",220
Saudi Arabia,"550,240","8,853 ","539,477","1,910",29
Ecuador,"533,190","33,558 ","443,880","55,752",759
Myanmar,"526,661","19,183 ","503,107","4,371",
S. Korea,"517,271","4,253 ","431,606","81,412",856
Lithuania,"491,122","6,974 ","456,278","27,870",125
Panama,"480,781","7,386 ","470,285","3,110",14
Paraguay,"463,755","16,505 ","446,598",652,54
Slovenia,"439,952","5,408 ","412,023","22,521",243
Venezuela,"438,683","5,239 ","426,476","6,968",681
Palestine,"433,985","4,576 ","425,777","3,632",62
Kuwait,"413,711","2,466 ","410,898",347,3
Dominican Republic,"410,265","4,218 ","404,389","1,658",110
Uruguay,"402,509","6,145 ","394,078","2,286",13
Mongolia,"385,353","2,033 ","313,256","70,064",192
Honduras,"378,561","10,421 ","122,591","245,549",51
Libya,"378,105","5,553 ","363,780","8,772",
Ethiopia,"373,115","6,829 ","350,368","15,918",157
Moldova,"369,659","9,368 ","354,258","6,033",132
Egypt,"369,198","21,060 ","306,605","41,533",90
Armenia,"342,538","7,802 ","325,394","9,342",
Norway,"317,880","1,136 ","88,952","227,792",109
Oman,"304,714","4,113 ","300,096",505,2
Bosnia and Herzegovina,"280,980","12,918 ","192,218","75,844",
Bahrain,"278,065","1,394 ","276,355",316,1
Singapore,"273,362",794 ,"267,028","5,540",30
Latvia,"261,944","4,375 ","248,267","9,302",97
Kenya,"256,335","5,348 ","248,515","2,472",1
Qatar,"245,354",613 ,"242,336","2,405",9
Australia,"228,930","2,104 ","210,848","15,978",99
Estonia,"228,279","1,852 ","213,179","13,248",23
North Macedonia,"219,408","7,732 ","205,946","5,730",
Nigeria,"217,481","2,981 ","207,746","6,754",11
Algeria,"212,848","6,145 ","146,340","60,363",24
